문1-1.문화예술행사관람실태직접관람횟수_총합,문3-7.문화예술행사(직접관람)_선택기준,문3-8.문화예술행사(직접관람)_관람걸림돌,문4-1.매체를이용한문화예술행사관람횟수_총합,문7-1.문화예술관련많이지출하는항목_1순위,문7-2.문화예술관련향후지출을늘리고싶은항목_1순위,문13.문화행사참여시가장큰어려움,문14.1년이내문화공간에서개최하는문화행사참여의향,문18.역사문화유적지방문경험여부,문19.1년이내역사문화유적지방문의향,문20.축제(거리축제포함)방문경험여부,문21.1년이내축제참여의향,성별,연령,학력,동거가구원수,혼인상태,가구주여부,종사상지위,가구소득,시도,장애등록여부,문12-1.문화예술활동공간이용횟수_총합,문12-4.문화예술활동문화행사참석횟수_총합,문15-1.문화관련자원봉사활동참여횟수,문18-A.역사문화유적지방문경험횟수,문20-A.축제(거리축제포함)방문경험횟수
3,1,3,170,17,17,3,2,1,6,1,6,1,4,4,1,3,1,1,5,6,1,2,0,,1,2
0,3,2,16,9,17,3,2,2,4,2,6,1,1,3,1,1,1,5,1,6,1,,,,,
0,6,2,400,9,8,1,2,1,5,1,5,1,6,1,3,3,1,5,3,6,1,4,0,,2,2
0,4,1,120,9,18,1,2,2,4,1,5,1,1,2,3,1,2,5,3,6,1,,,,,1
0,2,8,5,28,17,3,1,2,6,2,6,1,7,1,2,2,1,3,4,12,1,308,0,,,
0,2,3,5,28,17,8,2,1,6,1,6,1,7,1,2,2,1,3,2,12,1,10,0,,2,1
2,9,8,7,17,17,8,1,1,6,1,6,1,6,4,2,2,1,3,7,12,1,14,0,,20,3
17,9,8,6,17,17,8,1,1,6,1,6,2,6,3,2,2,2,5,5,12,1,6,3,,5,2
0,9,2,2,28,18,2,1,1,6,2,6,2,7,1,2,2,2,3,2,12,1,3,0,,2,
0,2,8,1,28,17,3,1,2,4,1,5,2,7,1,2,2,2,4,2,12,2,2,0,,,1
2,9,2,,17,17,3,2,2,5,1,5,2,5,3,2,2,2,3,4,6,1,2,0,,,1
